model	objective	gene	status	value
iUL909.xml	obj	G_OGAPODRAFT_16518	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16528	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16529	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16530	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16531	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16536	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16537	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16538	optimal	0.805031
iUL909.xml	obj	G_OGAPODRAFT_16553	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16559	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16560	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16566	optimal	1.116797
iUL909.xml	obj	G_OGAPODRAFT_16567	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16570	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16571	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16581	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16585	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16599	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16607	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16609	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16610	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16612	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16629	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16630	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16634	optimal	1.112906
iUL909.xml	obj	G_OGAPODRAFT_16642	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16660	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16663	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16672	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16692	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_16697	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_16710	optimal	1.116836
